aSMILES,afam1,afam_class,aCenterValence,aElectronegativity,aCenterSize,aSymmetry,aOxyAnions,aDipole,cfam,cfam1,cfam_class,cfamVolume,ctailVolume,cHeadVertex,cHeteroAtom,cFGs,cFGsGroup,aMolLogP,aMolMR,aMolWt,aNumHBA,aNumHBD,aRings,aVolume,aAsphericity,aEccentricity,aInertialShapeFactor,aPBF,aPMI1,aPMI2,aPMI3,aNPR1,aNPR2,aRadiusOfGyration,aSpherocityIndex,aLabuteASA,aTPSA,aAliCC,aAliHC,aAliRings,aAroCC,aAroHC,aAroRings,aNumNHOH,cMolLogP,cMolMR,cMolWt,cNumHBA,cNumHBD,cRings,cVolume,cAsphericity,cEccentricity,cInertialShapeFactor,cPBF,cPMI1,cPMI2,cPMI3,cNPR1,cNPR2,cRadiusOfGyration,cSpherocityIndex,cLabuteASA,cTPSA,cAliCC,cAliHC,cAliRings,cAroCC,cAroHC,cAroRings,cNumNHOH,Dataset,Iso SMILES,Log viscosity,Temperature,cSMILES,Anion|cfam,Anion|cFGsGroup,Anion|cfam|cFGsGroup,Anion|cfam_class,afam_class|cfam_class,Validated,Vm,DataSource,Reliability
Br[Al-](Br)(Br)Br,mln,mln,4,1.61,36.6176332328449,2,0,2.248413969428388e-06,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,3.0016,41.462,346.598,0,0,0,0.125176,6.164414619165991e-10,0.0092725229148902,0.0008329321346296,0.9112134640053318,1200.551138250028,1200.575886369792,1200.602753080491,0.9999570092352936,0.9999776223145992,2.279436715145737,0.9999564200213936,60.98344061105225,0.0,0,0,0,0,0,0,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.Br[Al-](Br)(Br)Br,2.876808138571341,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,Br[Al-](Br)(Br)Br|im,Br[Al-](Br)(Br)Br|C=C|-Br,Br[Al-](Br)(Br)Br|im|C=C|-Br,Br[Al-](Br)(Br)Br|Aromatic,mln|Aromatic,,0.3510000000000001,Pred.,Low
Br[Fe-](Br)(Br)Br,mln,mln,4,1.83,41.051584950737,2,0,0.0,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,3.3799,35.708,375.461,0,0,0,0.126984,3.9488899618594905e-10,0.0082612768749663,0.0007842438782054,1.023470752696628,1275.086846643365,1275.103651064021,1275.130360377727,0.9999658750699422,0.999979053660287,2.257025782632698,0.9999632850933644,61.07466479622642,0.0,0,0,0,0,0,0,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.Br[Fe-](Br)(Br)Br,3.2052895624957114,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,Br[Fe-](Br)(Br)Br|im,Br[Fe-](Br)(Br)Br|C=C|-Br,Br[Fe-](Br)(Br)Br|im|C=C|-Br,Br[Fe-](Br)(Br)Br|Aromatic,mln|Aromatic,,0.3528080000000001,Pred.,Low
Brc1ccc2[n-]cnc2c1,cyc,cyc,2,3.04,15.5985311238489,0,0,0.681360085898219,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,1.9545,42.76300000000001,196.027,1,0,2,0.119256,0.716498355993813,0.994401751176297,0.0069464086513982,0.0158978996361632,128.7529101859032,1089.787983815257,1218.497470483206,0.1056653077292356,0.8943703292080628,2.49320643083861,0.0001482936952325,72.02930565950558,26.99,0,0,0,1,1,2,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.Brc1ccc2[n-]cnc2c1,3.700521436200545,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,Brc1ccc2[n-]cnc2c1|im,Brc1ccc2[n-]cnc2c1|C=C|-Br,Brc1ccc2[n-]cnc2c1|im|C=C|-Br,Brc1ccc2[n-]cnc2c1|Aromatic,cyc|Aromatic,,0.3450800000000001,Pred.,Low
C=C1O[B-](F)(F)OC1=C,b,mln,4,2.04,17.808758841775,0,0,0.0,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,1.4352,28.41999999999999,132.882,2,0,1,0.098632,0.2300606453500359,0.9162017522792066,0.0045458396458445,0.1898103516590022,183.7290882618376,382.9409995955422,458.5005223145535,0.4007172932636063,0.8352029735155376,1.964038504478999,0.1258164804760656,56.45364770182229,18.46,0,1,1,0,0,0,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.C=C1O[B-](F)(F)OC1=C,2.907445403897844,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,C=C1O[B-](F)(F)OC1=C|im,C=C1O[B-](F)(F)OC1=C|C=C|-Br,C=C1O[B-](F)(F)OC1=C|im|C=C|-Br,C=C1O[B-](F)(F)OC1=C|Aromatic,mln|Aromatic,,0.3244560000000001,Pred.,Low
C=C[B-](F)(F)F,b,mln,4,2.04,17.808758841775,0,0,0.0,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,1.559,19.275,94.852,0,0,0,0.070752,0.1398415468265942,0.8513558613390353,0.0094233472572225,0.2646585145717746,104.9431872733137,197.8312289119491,200.048547820094,0.524588598202124,0.9889160959561726,1.628055882152502,0.2692561870799967,37.93209294273026,0.0,0,0,0,0,0,0,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.C=C[B-](F)(F)F,3.119579671768152,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,C=C[B-](F)(F)F|im,C=C[B-](F)(F)F|C=C|-Br,C=C[B-](F)(F)F|im|C=C|-Br,C=C[B-](F)(F)F|Aromatic,mln|Aromatic,,0.2965760000000001,Pred.,Low
CC(=C(C#N)C#N)[C-](C#N)C#N,dca,[N-],3,2.55,22.449297503777,0,0,2.404109197170322,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,0.97171,38.39500000000001,155.14,4,0,0,0.13908,0.1817867266205761,0.8850558762834877,0.0024710952093377,0.58604556713937,390.9151221861689,811.2391847839906,839.8021268368467,0.465484796589607,0.9659884856919336,2.56534833855512,0.4875287709763477,74.38947302279983,95.16,0,0,0,0,0,0,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.CC(=C(C#N)C#N)[C-](C#N)C#N,3.202004488154258,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,CC(=C(C#N)C#N)[C-](C#N)C#N|im,CC(=C(C#N)C#N)[C-](C#N)C#N|C=C|-Br,CC(=C(C#N)C#N)[C-](C#N)C#N|im|C=C|-Br,CC(=C(C#N)C#N)[C-](C#N)C#N|Aromatic,[N-]|Aromatic,,0.3649040000000001,Pred.,Low
CC(=O)[O-],co,[O-],4,2.55,22.449297503777,0,1,3.230210943265182,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,-1.2438,10.681,59.04400000000001,2,0,0,0.050512,0.2648657835792674,0.9030394653045564,0.0136217035401762,0.005248919141066,41.88019892754771,55.61955343458789,97.49612110637754,0.4295575911358815,0.5704796539946616,1.285019821734593,6.594136621252928e-05,28.27486049496937,40.13,0,0,0,0,0,0,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.CC(=O)[O-],3.5350413454926644,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,CC(=O)[O-]|im,CC(=O)[O-]|C=C|-Br,CC(=O)[O-]|im|C=C|-Br,CC(=O)[O-]|Aromatic,[O-]|Aromatic,,0.2763360000000001,Pred.,Low
CC(C)(C)c1ccc(C(=O)[O-])cc1,co,[O-],4,2.55,22.449297503777,0,1,3.453427653099657,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,1.3476,49.47250000000003,177.2230000000001,2,0,1,0.152888,0.5907297244626978,0.9867482965593276,0.0037288523051457,0.2518393908404802,241.7499418027699,1343.076219321434,1489.906790107952,0.162258433485798,0.9014498277601112,2.945294058185338,0.0652662131181137,96.4764860459013,40.13,0,0,0,1,0,1,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.CC(C)(C)c1ccc(C(=O)[O-])cc1,4.252235250256971,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,CC(C)(C)c1ccc(C(=O)[O-])cc1|im,CC(C)(C)c1ccc(C(=O)[O-])cc1|C=C|-Br,CC(C)(C)c1ccc(C(=O)[O-])cc1|im|C=C|-Br,CC(C)(C)c1ccc(C(=O)[O-])cc1|Aromatic,[O-]|Aromatic,,0.3787120000000001,Pred.,Low
CC(C)(C)c1ccc([O-])cc1,oph,oph,4,2.55,22.449297503777,0,1,3.26125886950462,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,2.0577,44.58800000000003,149.2130000000001,1,0,1,0.13276,0.4910880080696228,0.97691331309335,0.0043954525818606,0.1085073502195469,197.5663799557418,803.0730727062468,924.7799868261244,0.2136360894160309,0.8683936548653265,2.540062174459648,0.0658953887231809,85.95002183146092,23.06,0,0,0,1,0,1,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.CC(C)(C)c1ccc([O-])cc1,3.565160725782534,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,CC(C)(C)c1ccc([O-])cc1|im,CC(C)(C)c1ccc([O-])cc1|C=C|-Br,CC(C)(C)c1ccc([O-])cc1|im|C=C|-Br,CC(C)(C)c1ccc([O-])cc1|Aromatic,oph|Aromatic,,0.3585840000000001,Pred.,Low
CC(C)C(=O)[O-],co,[O-],4,2.55,22.449297503777,0,1,3.380231854102316,im,im,Aromatic,0.081512,0.1443120000000001,5,2,C=C|-Br,C=C|-Br,-0.6077000000000001,19.845,87.09799999999996,2,0,0,0.07552,0.272015637831457,0.925435688542441,0.0074652182962074,0.1303350307500877,91.60353019631532,165.3243860817735,241.7587470144891,0.3789047193846737,0.6838403496187264,1.691978295871863,0.0445623874689402,46.62462672443386,40.13,0,0,0,0,0,0,0,3.565200000000002,77.07300000000002,466.8169999999998,1,0,1,0.2258240000000001,0.5464203459493817,0.9828671251076248,0.0006964942826745,0.3991875601024457,1280.923205240235,6200.144547571521,6949.621712950391,0.1843155294126695,0.89215568899495,3.931472218698425,0.0707351552874587,138.7050700732551,8.809999999999999,0,0,0,0,1,1,0,Pred.Non-VBM,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1.CC(C)C(=O)[O-],3.272300175223521,298.15,BrC=C(Br)Cn1cc[n+](CC(Br)CBr)c1,CC(C)C(=O)[O-]|im,CC(C)C(=O)[O-]|C=C|-Br,CC(C)C(=O)[O-]|im|C=C|-Br,CC(C)C(=O)[O-]|Aromatic,[O-]|Aromatic,,0.3013440000000001,Pred.,Low
